Date,GDAXI_OPEN,GDAXI_HIGH,GDAXI_LOW,GDAXI_CLOSE,GDAXI_ADJ_CLOSE,GDAXI_VOLUME,GDAXI_DAILY_RETURNS
2020-07-13,12817.1904296875,12836.41015625,12688.9404296875,12799.9697265625,12799.9697265625,72522700,1.3160011282439044
2020-07-14,12642.23046875,12697.91015625,12535.900390625,12697.3603515625,12697.3603515625,76739200,-0.801637638150543
2020-07-15,12812.1103515625,12999.83984375,12773.4404296875,12930.98046875,12930.98046875,78620200,1.839910900526287
2020-07-16,12857.2998046875,12919.23046875,12805.4697265625,12874.9697265625,12874.9697265625,68007000,-0.4331515488934512
2020-07-17,12915.26953125,12954.25,12870.26953125,12919.6103515625,12919.6103515625,75182300,0.34672411623539734
2020-07-20,12898.1103515625,13063.6904296875,12811.7197265625,13046.919921875,13046.919921875,59658600,0.9853979094431642
2020-07-21,13194.9296875,13313.900390625,13147.2998046875,13171.830078125,13171.830078125,92171700,0.9573919131715458
2020-07-22,13165.2900390625,13197.919921875,13067.0595703125,13104.25,13104.25,68185200,-0.5130652135972635
2020-07-23,13183.5,13217.73046875,13072.8203125,13103.3896484375,13103.3896484375,64544500,-0.006565439170502785
2020-07-24,12919.3095703125,12935.5,12812.01953125,12838.0595703125,12838.0595703125,63775500,-2.0248964981106177
2020-07-27,12865.75,12908.66015625,12811.4404296875,12838.66015625,12838.66015625,60602800,0.00467816755491679
2020-07-28,12886.23046875,12936.009765625,12746.4599609375,12835.2802734375,12835.2802734375,58126400,-0.026325821942208005
2020-07-29,12819.6298828125,12864.3896484375,12789.9697265625,12822.259765625,12822.259765625,70233500,-0.10144311253915683
2020-07-30,12762.1201171875,12768.7099609375,12253.919921875,12379.650390625,12379.650390625,103737800,-3.4518827655214412
2020-07-31,12403.099609375,12524.75,12313.3603515625,12313.3603515625,12313.3603515625,81406400,-0.5354758573206664
2020-08-03,12374.4599609375,12698.5595703125,12365.6103515625,12646.98046875,12646.98046875,73270900,2.709415688830763
2020-08-04,12744.1298828125,12768.580078125,12528.0703125,12600.8701171875,12600.8701171875,65605800,-0.3645957363216934
2020-08-05,12667.1201171875,12757.0302734375,12632.990234375,12660.25,12660.25,67957000,0.47123636907824284
2020-08-06,12664.5498046875,12799.2099609375,12519.849609375,12591.6796875,12591.6796875,67702900,-0.541618945123512
